Abacus Property Group Stapled,ABP,Real Estate,,
Aconex Limited,ACX,Information Technology,,
Adelaide Brighton Limited,ABC,Materials,,
AGL Energy Limited,AGL,Utilities,,
Als Limited,ALQ,Industrials,,
Altium Limited,ALU,Information Technology,,
Alumina Limited,AWC,Materials,,
Amcor Limited,AMC,Materials,,
AMP Limited,AMP,Financials,,
Ansell Limited,ANN,Health Care,,
APA Group Stapled,APA,Utilities,,
APN News Media Limited,APN,Consumer Discretionary,,
Apn Outdoor Group Limited,APO,Consumer Discretionary,,
ARB Corporation Limited,ARB,Consumer Discretionary,,
Ardent Leisure Group Stapled,AAD,Consumer Discretionary,,
Aristocrat Leisure Limited,ALL,Consumer Discretionary,,
Asaleo Care Limited,AHY,Consumer Staples,,
ASX Limited,ASX,Financials,,
Aurizon Holdings Limited,AZJ,Industrials,,
Ausnet Services Limited,AST,Utilities,,
Australia And New Zealand Banking Group Limited,ANZ,Financials,,
Australian Agricultural Company Limited,AAC,Consumer Staples,,
Australian Pharmaceutical Industries Limited,API,Health Care,,
Automotive Holdings Group Limited,AHG,Consumer Discretionary,,
Aveo Group Stapled,AOG,Real Estate,,
Bank of Queensland Limited,BOQ,Financials,boq,steve
Bapcor Limited,BAP,Consumer Discretionary,,
Beach Energy Limited,BPT,Energy,,
Bega Cheese Limited,BGA,Consumer Staples,,
Bellamys Australia Limited,BAL,Consumer Staples,,
Bendigo And Adelaide Bank Limited,BEN,Financials,,
BHP Billiton Limited,BHP,Materials,,
Blackmores Limited,BKL,Consumer Staples,,
Bluescope Steel Limited,BSL,Materials,,
Boral Limited,BLD,Materials,,
Brambles Limited,BXB,Industrials,,
Breville Group Limited,BRG,Consumer Discretionary,,
Brickworks Limited,BKW,Materials,,
BT Investment Management Limited,BTT,Financials,,
BWP Trust Ord Units,BWP,Real Estate,,
Caltex Australia Limited,CTX,Energy,,
Carsalescom Limited,CAR,Information Technology,,
Challenger Limited,CGF,Financials,,
Charter Hall Group Forus,CHC,Real Estate,,
Charter Hall Retail Reit Unit,CQR,Real Estate,,
Cimic Group Limited,CIM,Industrials,,
Cleanaway Waste Management Limited,CWY,Industrials,,
Cocacola Amatil Limited,CCL,Consumer Staples,,
Cochlear Limited,COH,Health Care,,
Commonwealth Bank of Australia,CBA,Financials,cba_commbank,
Computershare Limited,CPU,Information Technology,,
Corporate Travel Management Limited,CTD,Consumer Discretionary,,
Costa Group Holdings Limited,CGC,Consumer Staples,,
Credit Corp Group Limited,CCP,Financials,,
Cromwell Property Group Stapled,CMW,Real Estate,,
Crown Resorts Limited,CWN,Consumer Discretionary,,
CSL Limited,CSL,Health Care,,
CSR Limited,CSR,Materials,,
CSR Limited,CYB,Financials,,
Dexus Property Group Stapled,DXS,Real Estate,,
Dominos Pizza Enterprises Limited,DMP,Consumer Discretionary,,
Downer Edi Limited,DOW,Industrials,,
Duet Group Forus,DUE,Utilities,,
Dulux group Limited,DLX,Materials,,
Eclipx Group Limited,ECX,Financials,,
Estia Health Limited,EHE,Health Care,,
Evolution Mining Limited,EVN,Materials,,
Fairfax Media Limited,FXJ,Consumer Discretionary,,
Fisher Paykel Healthcare Corporation Limited NZX,FPH,Health Care,,
Fletcher Building Limited NZX,FBU,Materials,,
Flexigroup Limited,FXL,Financials,,
Flight Centre Travel Group Limited,FLT,Consumer Discretionary,,
Fortescue Metals Group LTD,FMG,Materials,,
Gud Holdings Limited,GUD,Consumer Discretionary,,
G8 Education Limited,GEM,Consumer Discretionary,,
Galaxy Resources Limited,GXY,Materials,,
Gateway Lifestyle Group Stapled,GTY,Real Estate,,
Genworth Mortgage Insurance Australia Limited,GMA,Financials,,
Goodman Group Stapled,GMG,Real Estate,,
GPT Group Stapled,GPT,Real Estate,,
Graincorp Limited,GNC,Consumer Staples,,
Greencross Limited,GXL,Consumer Discretionary,,
Growthpoint Properties Australia Stapled,GOZ,Real Estate,,
GWA Group Limited,GWA,Industrials,,
Harvey Norman Holdings Limited,HVN,Consumer Discretionary,,
Healthscope Limited,HSO,Health Care,,
Henderson Group PLC,HGG,Financials,,
Iluka Resources Limited,ILU,Materials,,
Incitec Pivot Limited,IPL,Materials,,
Independence Group,IGO,Materials,,
Infigen Energy Stapled,IFN,Utilities,,
Insurance Australia Group Limited,IAG,Financials,,
Investa Office Fund Stapled,IOF,Real Estate,,
Invocare Limited,IVC,Consumer Discretionary,,
Ioof Holdings Limited,IFL,Financials,,
IPH Limited,IPH,Industrials,,
Iress Limited,IRE,Information Technology,,
Iron Mountain Incorporated,INM,Real Estate,,
Isentia Group Limited,ISD,Information Technology,,
James Hardie Industries PLC,JHX,Materials,,
Japara Healthcare Limited,JHC,Health Care,,
JB Hifi Limited,JBH,Consumer Discretionary,,
Lendlease Group Stapled,LLC,Real Estate,,
Link Administration Holdings Limited,LNK,Information Technology,,
Macquarie Atlas Roads Group Stapled,MQA,Industrials,,
Macquarie Group Limited,MQG,Financials,,
Magellan Financial Group Limited,MFG,Financials,,
Mantra Group Limited,MTR,Consumer Discretionary,,
Mayne Pharma Group Limited,MYX,Health Care,,
Mcmillan Shakespeare Limited,MMS,Industrials,,
Medibank Private Limited,MPL,Financials,,
Metcash Limited,MTS,Consumer Staples,,
Mineral Resources Limited,MIN,Materials,,
Mirvac Group Stapled,MGR,Real Estate,,
Monadelphous Group Limited,MND,Industrials,,
Myer Holdings Limited,MYR,Consumer Discretionary,,
Myob Group Limited,MYO,Information Technology,,
National Australia Bank Limited,NAB,Financials,nab,
National Storage Reit Stapled,NSR,Real Estate,,
Navitas Limited,NVT,Consumer Discretionary,,
Newcrest Mining Limited,NCM,Materials,,
News Corporation,NWS,Consumer Discretionary,,
Nextdc Limited,NXT,Information Technology,,
Nine Entertainment Co Holdings Limited,NEC,Consumer Discretionary,,
Northern Star Resources LTD,NST,Materials,,
Nufarm Limited,NUF,Materials,,
OFX Group Limited,OFX,Financials,,
Oil Search Limited,OSH,Energy,,
Orica Limited,ORI,Materials,,
Origin Energy Limited,ORG,Energy,,
Orocobre Limited,ORE,Materials,,
Orora Limited,ORA,Materials,,
Oz Minerals Limited,OZL,Materials,,
Pact Group Holdings LTD,PGH,Materials,,
Perpetual Limited,PPT,Financials,,
Platinum Asset Management Limited,PTM,Financials,,
Premier Investments Limited,PMV,Consumer Discretionary,,
Primary Health Care Limited,PRY,Health Care,,
Qantas Airways Limited,QAN,Industrials,,
QBE Insurance Group Limited,QBE,Financials,,
Qube Holdings Limited,QUB,Industrials,,
Ramsay Health Care Limited,RHC,Health Care,,
REA Group LTD,REA,Consumer Discretionary,,
Regis Healthcare Limited,REG,Health Care,,
Regis Resources Limited,RRL,Materials,,
Reliance Worldwide Corporation Limited,RWC,Industrials,,
Resmed Inc,RMD,Health Care,,
Resolute Mining Limited,RSG,Materials,,
Retail Food Group Limited,RFG,Consumer Discretionary,,
RIO Tinto Limited,RIO,Materials,,
SAI Global Limited,SAI,Industrials,,
Sandfire Resources NL,SFR,Materials,,
Santos Limited,STO,Energy,,
Saracen Mineral Holdings Limited,SAR,Materials,,
Scentre Group Stapled,SCG,Real Estate,,
Seek Limited,SEK,Industrials,,
Seven Group Holdings Limited,SVW,Industrials,,
Seven West Media Limited,SWM,Consumer Discretionary,,
Shopping Centres Australasia Property Group Stapled,SCP,Real Estate,,
Sigma Pharmaceuticals Limited,SIP,Health Care,,
Sims Metal Management Limited,SGM,Materials,,
Sirtex Medical Limited,SRX,Health Care,,
SKY Network Television Limited NZ,SKT,Consumer Discretionary,,
Skycity Entertainment Group Limited NZX,SKC,Consumer Discretionary,,
Sonic Healthcare Limited,SHL,Health Care,,
SOUTH32 Limited,S32,Materials,,
Southern Cross Media Group Limited,SXL,Consumer Discretionary,,
Spark Infrastructure Group Forus,SKI,Utilities,,
Spark New Zealand Limited NZX,SPK,Telecommunication Services,,
Spotless Group Holdings Limited,SPO,Industrials,,
ST Barbara Limited,SBM,Materials,,
Steadfast Group Limited,SDF,Financials,,
Stockland Stapled,SGP,Real Estate,,
Suncorp Group Limited,SUN,Financials,,
Super Retail Group Limited,SUL,Consumer Discretionary,,
Sydney Airport Forus,SYD,Industrials,,
Syrah Resources Limited,SYR,Materials,,
Tabcorp Holdings Limited,TAH,Consumer Discretionary,,
Tassal Group Limited,TGR,Consumer Staples,,
Tatts Group Limited,TTS,Consumer Discretionary,,
Technology One Limited,TNE,Information Technology,,
Telstra Corporation Limited,TLS,Telecommunication Services,,
The A2 Milk Company Limited NZ,A2M,Consumer Staples,,
The Star Entertainment Group Limited,SGR,Consumer Discretionary,,
TPG Telecom Limited,TPM,Telecommunication Services,,
Trade Me Group Limited NZ,TME,Consumer Discretionary,,
Transurban Group Stapled,TCL,Industrials,,
Treasury Wine Estates Limited,TWE,Consumer Staples,,
Vicinity Centres Stapled,VCX,Real Estate,,
Virtus Health Limited,VRT,Health Care,,
Vocus Communications Limited,VOC,Telecommunication Services,,
Webjet Limited,WEB,Consumer Discretionary,,
Wesfarmers Limited,WES,Consumer Staples,,
Western Areas Limited,WSA,Materials,,
Westfield Corporation Stapled,WFD,Real Estate,,
Westpac Banking Corporation,WBC,Financials,,
Whitehaven Coal Limited,WHC,Energy,,
Woodside Petroleum Limited,WPL,Energy,,
Woolworths Limited,WOW,Consumer Staples,,
Worleyparsons Limited,WOR,Energy,,
